순번,판례ID,제목,법원,사건유형,판결유형,선고일자
1,241627,구상금[공동불법행위자 중 1인의 보험자가 보험자대위에 따라 취득한 구상금채권을 행사하는 경우 소멸시효기간이 문제된 사건],대법원,대법원,민사,2024.09.27
2,241633,국민보호와공공안전을위한테러방지법위반[테러단체 가입 선동으로 인한 「국민보호와 공공안전을 위한 테러방지법」 위반죄의 성립 여부가 문제된 사건],대법원,대법원,형사,2024.09.27
3,241639,근로자지위부존재확인[대리운전업체가 대리운전 기사를 상대로 「노동조합 및 노동관계조정법」(이하 ‘노동조합법’)상 근로자지위부존재확인을 청구한 사건],대법원,대법원,민사,2024.09.27
4,241629,단체협약시정명령취소[노동조합의 운영비원조금지조항이 형벌에 관한 법률조항에 해당하여 헌법불합치결정에 따라 소급하여 효력을 상실하는지 여부가 문제된 사건],대법원,대법원,일반행정,2024.09.27
5,241623,미지급대금등청구[집합건물 공용부분의 관리에 관한 계약에 대하여 관리단집회의 결의가 없는 경우 계약의 효력이 문제된 사건],대법원,대법원,민사,2024.09.27
6,241637,성매매알선등행위의처벌에관한법률위반(성매매알선등)[성매매알선 행위를 통하여 공범인 직원이 지급받은 급여를 「범죄수익은닉의 규제 및 처벌 등에 관한 법률」에 의하여 추징할 수 있는지 여부가 문제된 사건],대법원,대법원,형사,2024.09.27
7,241631,"스토킹범죄의처벌등에관한법률위반[전화를 걸어 부재중 전화 문구, 수신차단기호 등이 표시되도록 한 경우 잠정조치 불이행으로 인한 「스토킹범죄의 처벌 등에 관한 법률」(이하 ‘스토킹처벌법’) 위반죄가 성립하는지 여부 등이 문제된 사건]",대법원,대법원,형사,2024.09.27
8,241625,용역비·용역비,대법원,대법원,민사,2024.09.27
9,241635,"전기통신금융사기피해방지및피해금환급에관한특별법위반·컴퓨터등사용사기[구 「전기통신금융사기 피해 방지 및 피해금 환급에 관한 특별법」(2023. 5. 16. 법률 제19418호로 개정되어 2023. 11. 17. 시행되기 전의 것, 이하 ‘구법’) 제15조의2 제1항의 개정이 ‘범죄 후의 법령개폐로 형이 폐지되었을 때’에 해당하는지 여부가 문제된 사건]",대법원,대법원,형사,2024.09.27
10,241641,수사기관의압수에관한처분취소·변경기각결정에대한재항고[압수수색영장에 명시적으로 기재되어 있지 않은 휴대전화에 대한 압수수색의 적법 여부가 문제된 사건],대법원,대법원,형사,2024.09.25
11,241643,재심개시결정에대한재항고[형사소송법 제420조 제5호 및 제7호의 재심사유의 존부가 문제된 사건],대법원,대법원,형사,2024.09.19
12,241575,도시및주거환경정비법위반[무효인 총회의결에 따라 재개발조합 조합장으로 선임된 사람의 관련 자료 미공개 및 열람·복사 불응이 문제된 사건],대법원,대법원,형사,2024.09.13
13,241569,부당이득금[조합의 해산에 따른 잔여재산 분배청구와 조합의 탈퇴에 따른 지분반환청구의 구별이 문제된 사건],대법원,대법원,민사,2024.09.13
14,241577,부당인사발령및부당대기발령구제재심판정취소[대기발령에 대해 노동위원회에 구제신청을 할 이익이 인정되는지 여부가 문제된 사건],대법원,대법원,일반행정,2024.09.13
15,241571,손해배상(기)[대표이사 해임을 이유로 손해배상을 구하는 사건],대법원,대법원,민사,2024.09.13
16,241573,임대차보증금[임대차목적물이 인도되어야 임차인의 차임지급의무가 발생하는지 여부가 문제된 사건],대법원,대법원,민사,2024.09.13
17,241579,"증여세부과처분취소[학교법인이 매매 또는 신축행위를 통해 취득한 부동산의 매각대금이 구 「상속세 및 증여세법」(2007. 12. 31. 법률 제8828호로 개정되기 전의 것, 이하 ‘구 상증세법’) 제48조 제2항 제4호의 ‘출연받은 재산의 매각대금’에 해당하는지 여부가 문제된 사건]",대법원,대법원,세무,2024.09.13
18,241597,교원소청심사위원회결정취소[사립학교법인이 임기를 마친 교장의 원로교사 임용신청을 거부한 사건],대법원,대법원,일반행정,2024.09.12
19,241583,근로에관한소송[대기발령을 받은 근로자가 대기발령 사유가 없거나 대기발령이 부당히 장기간 유지되어 무효라고 주장한 사건],대법원,대법원,민사,2024.09.12
20,241603,도시및주거환경정비법위반[재건축조합 추진위원회 위원장이 토지등소유자의 열람·복사 요청에 불응한 사건],대법원,대법원,형사,2024.09.12
21,241595,마약류관리에관한법률위반(향정)·범인도피[마약류 관리에 관한 법률 제40조의2 제2항에 따른 수강명령 또는 이수명령 대상인 ‘마약류사범’의 의미가 문제된 사건],대법원,대법원,형사,2024.09.12
22,241587,법인세부과처분취소[손해배상금의 손금산입 여부가 문제된 사건],대법원,대법원,세무,2024.09.12
23,241581,부인의소송[동산 소유권유보부매매 매수인에 대한 파산절차에서 매도인의 지위가 문제된 사건],대법원,대법원,민사,2024.09.12
24,241601,사기[법원이 해외에 체류 중인 사람에 대하여 선서 없이 인터넷 화상장치로 진술을 청취한 경우 그 진술 녹음파일과 녹취서의 증거능력이 문제된 사건],대법원,대법원,형사,2024.09.12
25,241585,손해배상(기)[공인중개사가 부동산 중개 과정에서 임대차보증금 반환채무가 매수인에게 면책적으로 인수되지 않는다는 사정을 설명할 주의의무가 인정되는지 여부가 문제된 사건],대법원,대법원,민사,2024.09.12
26,241599,아동학대범죄의처벌등에관한특례법위반(아동복지시설종사자등의아동학대가중처벌)[교사의 훈육 목적 행위가 ‘정서적 학대행위’에 해당하는지 여부 등이 문제된 사건],대법원,대법원,형사,2024.09.12
27,241591,양도소득세등부과처분취소[국내 소재 상속재산가액을 초과하여 상속세를 부과한 사건],대법원,대법원,세무,2024.09.12
28,241589,종합소득세부과처분취소등[홍콩에 설립된 외국법인의 주식 등이 정관에 의하여 양도가 제한된 경우로서 구 국세기본법 제40조 제1항 제2호에서 정한 법인의 제2차 납세의무 요건을 충족하는지 여부가 문제된 사건],대법원,대법원,세무,2024.09.12
29,241593,주택법위반[지역주택조합 추진위원회 위원장의 관련 자료 미공개가 문제된 사건],대법원,대법원,형사,2024.09.12
30,241605,비용보상청구일부인용결정에대한재항고[형사소송법 제194조의2 제2항 제1호에서 정한 무죄판결 확정 후 비용보상의 소극적 요건 해당 여부 및 비용보상의 절차규정 준수 여부가 문제된 사건],대법원,대법원,형사,2024.09.10
31,241491,감리결과조치처분및과징금부과처분취소(문서제출명령에대한즉시항고)[민사소송법 제344조 제1항 제1호에서 정한 ‘당사자가 소송에서 인용한 문서’에 대한 문서제출명령의 발령요건이 문제된 사건],대법원,대법원,일반행정,2024.08.29
32,241493,개인정보보호법위반[정보주체의 동의 없이 유통되는 개인정보를 매입하는 행위가 「개인정보 보호법」 제70조 제2호의 ‘거짓이나 그 밖의 부정한 수단이나 방법’으로 다른 사람이 처리하고 있는 개인정보를 취득한 것인지 여부가 문제된 사건],대법원,대법원,형사,2024.08.29
33,241495,개인정보보호법위반[개인정보를 처리하거나 처리하였던 자가 CCTV 영상을 재생하여 시청할 수 있도록 해준 경우 그 영상을 시청한 행위를 ‘개인정보를 제공받은 행위’로 볼 수 있는지 여부가 문제된 사건],대법원,대법원,형사,2024.08.23
34,241497,폐기물관리법위반[폐기물 중간재활용업자가 관할관청의 변경허가를 받지 않고 운반차량을 증차했는지가 문제된 사건],대법원,대법원,형사,2024.08.23
35,241499,개인회생,대법원,대법원,민사,2024.08.20
36,241501,부동산임의경매[임의경매절차에서 저당권의 피담보채권 양도의 대항요건에 대한 증명책임이 문제된 사건],대법원,대법원,민사,2024.08.19
37,241503,임시관리인선임[집합건물의 임시관리인 선임 청구의 요건이 문제된 사건],대법원,대법원,민사,2024.08.19
38,241379,강제추행·도로교통법위반[추행행위 해당 여부와 추행의 고의 인정 여부가 문제된 사건],대법원,대법원,형사,2024.08.01
39,241385,대여금[고의의 불법행위로 체결된 소비대차계약에 기한 대여금채권을 수동채권으로 한 상계 허용 여부가 문제된 사건],대법원,대법원,민사,2024.08.01
40,241383,부당이득금[상속재산분할심판에 따른 공동상속인들 사이의 법률관계에서 반환한 임대차보증금 및 납부한 재산세의 구상권 행사 여부가 문제된 사건],대법원,대법원,민사,2024.08.01
41,241377,업무방해[업무방해죄에서 정당행위에 의한 위법성조각 여부가 문제된 사건],대법원,대법원,형사,2024.08.01
42,241381,원상회복금[처분문서에 기재된 공제 및 상계 약정의 해석이 문제된 사건],대법원,대법원,민사,2024.08.01
43,241375,원인자부담금부과처분취소[숙박시설에 대한 상수도 원인자부담금부과 근거가 문제된 사건],대법원,대법원,일반행정,2024.08.01
44,241387,후원금반환청구의소[착오로 인한 의사표시를 이유로 후원계약을 취소할 수 있는지 여부가 문제된 사건],대법원,대법원,민사,2024.08.01
45,241389,배당이의[물상보증인으로부터 부동산소유권을 취득한 제3자가 다른 제3자를 상대로 변제 후 취득한 구상권을 대위행사한 사건],대법원,대법원,민사,2024.07.31
46,241243,거절결정(특)[이 사건 청구항이 존속기간이 연장될 수 있는 발명에 해당하는지 여부가 문제된 사건],대법원,대법원,특허,2024.07.25
47,241249,공무집행방해[위법성 조각사유의 전제사실에 대한 착오가 문제된 사건],대법원,대법원,형사,2024.07.25
48,241227,구상금,대법원,대법원,민사,2024.07.25
49,241247,구상금[외국적 요소가 있는 보험계약에서 보험자대위의 준거법 및 그에 따른 보험자대위 방법이 문제된 사건],대법원,대법원,민사,2024.07.25
50,241233,근로에관한소송·근로에관한소송·근로에관한소송,대법원,대법원,민사,2024.07.25
51,241219,근로자지위확인[파견근로자에 대한 퇴직금 공제의 범위가 문제된 사건],대법원,대법원,민사,2024.07.25
52,241207,농지보전부담금부과처분취소[「농지법 시행령」 제59조 제2항의 해석이 문제된 사건],대법원,대법원,세무,2024.07.25
53,241205,법인세경정거부처분취소[법인세법상 자산의 취득가액에 관한 조세심판원 재조사 결정의 기속력이 문제된 사건],대법원,대법원,세무,2024.07.25
54,241209,법인세등부과처분취소[국내사업장을 가진 외국법인이 국내 및 국외에 걸쳐 선박에 의한 국제운송업을 영위하면서 발생한 소득의 법인세 과세대상 해당 여부와 과세표준 증명책임 등이 문제된 사건],대법원,대법원,세무,2024.07.25
55,241235,보증금[민법 제35조 제1항에 따른 손해배상청구에서 피해자의 악의 또는 중과실 인정 여부가 문제된 사건],대법원,대법원,민사,2024.07.25
56,241221,부당해고구제재심판정취소[온라인 플랫폼에 기반한 차량 대여 및 기사 제공 서비스에서 운전업무를 수행한 기사의 근로자성 및 서비스 운영주체의 사용자성 판단이 문제된 사건],대법원,대법원,일반행정,2024.07.25
57,241237,상수도원인자부담금부과처분취소[상수도원인자부담금을 부과할 수 있는지 여부 및 그 근거 조항이 문제된 사건],대법원,대법원,일반행정,2024.07.25
58,241215,소유권이전등기[개정 토지보상법의 적용에 따른 환매권 발생 여부가 문제된 사건],대법원,대법원,민사,2024.07.25
59,241213,소유권이전등기[공공건설임대주택의 임차인인 원고들이 임대사업자 지위를 승계한 새로운 임대사업자 또는 그 자와 신탁계약을 체결한 신탁회사 등을 상대로 구 임대주택법에서 정한 우선 분양전환권자의 지위에 기한 매도청구권의 행사에 따른 소유권이전등기 등을 청구한 사건],대법원,대법원,민사,2024.07.25
60,241223,소유권이전등기[전용면적 85㎡ 초과 공공건설임대주택 분양전환 시 분양전환가격 산정 절차],대법원,대법원,민사,2024.07.25
61,241225,손해배상(기)·손해배상(기)·손해배상(기),대법원,대법원,민사,2024.07.25
62,241201,아동·청소년의성보호에관한법률위반(음란물제작·배포등)·성폭력범죄의처벌등에관한특례법위반(카메라등이용촬영)[피고인이 주거지 밖으로 집어던진 저장매체를 수사기관이 유류물로 영장 없이 압수한 사건],대법원,대법원,형사,2024.07.25
63,241203,양도소득세부과처분취소[부동산 양도인의 동생이 대표자 겸 최대주주 지위에서 운영하는 회사가 구 소득세법 제101조 제1항의 양도소득 부당행위계산 부인과 관련한 ‘본인의 특수관계인’에 해당하는지 여부가 문제된 사건],대법원,대법원,세무,2024.07.25
64,241211,업무정지등처분취소[의료기기 판매업무정지처분 기간 동안 동일한 ‘품목’의 의료기기를 판매하였다는 이유로 내려진 의료기기 제조인증 취소처분의 취소를 구하는 사건],대법원,대법원,일반행정,2024.07.25
65,241217,임금·약정금,대법원,대법원,민사,2024.07.25
66,241229,임금[주휴수당이 최저임금 지급대상인지 여부가 문제된 사건],대법원,대법원,민사,2024.07.25
